# E(GeV)    P2          V2          E2          Pmumu          Pmue          Pmutau
0.805000   0.977507   0.011243   0.011250   0.994347   0.005313   0.000340
0.810000   0.976233   0.011880   0.011887   0.994024   0.005690   0.000286
0.815000   0.972082   0.013948   0.013970   0.992977   0.006114   0.000909
0.820000   0.965179   0.017382   0.017439   0.991232   0.006584   0.002183
0.825000   0.955659   0.022112   0.022228   0.988819   0.007097   0.004085
0.830000   0.943664   0.028067   0.028269   0.985764   0.007649   0.006587
0.835000   0.929344   0.035169   0.035487   0.982095   0.008239   0.009666
0.840000   0.912852   0.043338   0.043810   0.977840   0.008864   0.013296
0.845000   0.894346   0.052495   0.053159   0.973025   0.009521   0.017454
0.850000   0.873985   0.062556   0.063459   0.967677   0.010209   0.022114
0.855000   0.851930   0.073440   0.074631   0.961823   0.010924   0.027253
0.860000   0.828340   0.085064   0.086596   0.955487   0.011665   0.032848
0.865000   0.803376   0.097346   0.099279   0.948695   0.012430   0.038875
0.870000   0.777194   0.110205   0.112601   0.941472   0.013217   0.045311
0.875000   0.749949   0.123563   0.126488   0.933841   0.014023   0.052136
0.880000   0.721792   0.137343   0.140866   0.925827   0.014847   0.059326
0.885000   0.692869   0.151468   0.155663   0.917452   0.015687   0.066861
0.890000   0.663325   0.165866   0.170810   0.908739   0.016542   0.074720
0.895000   0.633295   0.180467   0.186238   0.899708   0.017409   0.082883
0.900000   0.602912   0.195204   0.201884   0.890382   0.018287   0.091331
0.905000   0.572303   0.210012   0.217685   0.880781   0.019175   0.100044
0.910000   0.541588   0.224830   0.233582   0.870924   0.020071   0.109005
0.915000   0.510882   0.239601   0.249517   0.860831   0.020973   0.118195
0.920000   0.480292   0.254270   0.265438   0.850521   0.021881   0.127598
0.925000   0.449922   0.268785   0.281293   0.840011   0.022793   0.137195
0.930000   0.419866   0.283098   0.297036   0.829319   0.023709   0.146972
0.935000   0.390214   0.297165   0.312621   0.818461   0.024626   0.156913
0.940000   0.361049   0.310944   0.328007   0.807454   0.025544   0.167002
0.945000   0.332447   0.324397   0.343156   0.796313   0.026462   0.177225
0.950000   0.304480   0.337489   0.358031   0.785053   0.027378   0.187569
0.955000   0.277212   0.350189   0.372599   0.773689   0.028293   0.198019
0.960000   0.250702   0.362467   0.386831   0.762233   0.029204   0.208562
0.965000   0.225002   0.374298   0.400699   0.750701   0.030112   0.219187
0.970000   0.200161   0.385660   0.414180   0.739103   0.031016   0.229881
0.975000   0.176220   0.396531   0.427249   0.727453   0.031914   0.240633
0.980000   0.153217   0.406894   0.439889   0.715761   0.032807   0.251432
0.985000   0.131183   0.416736   0.452082   0.704040   0.033693   0.262267
0.990000   0.110146   0.426042   0.463812   0.692299   0.034572   0.273129
0.995000   0.090128   0.434804   0.475068   0.680549   0.035443   0.284007
1.000000   0.071148   0.443013   0.485839   0.668800   0.036307   0.294893
1.005000   0.053220   0.450664   0.496116   0.657061   0.037161   0.305778
1.010000   0.036354   0.457753   0.505893   0.645339   0.038007   0.316654
1.015000   0.020558   0.464278   0.515164   0.633645   0.038843   0.327512
1.020000   0.005834   0.470239   0.523927   0.621986   0.039670   0.338345
1.025000   -0.007817   0.475638   0.532179   0.610369   0.040486   0.349145
1.030000   -0.020398   0.480477   0.539922   0.598801   0.041292   0.359907
1.035000   -0.031916   0.484761   0.547155   0.587289   0.042087   0.370624
1.040000   -0.042378   0.488496   0.553881   0.575840   0.042871   0.381288
1.045000   -0.051795   0.491690   0.560105   0.564460   0.043644   0.391896
1.050000   -0.060181   0.494349   0.565831   0.553154   0.044405   0.402441
1.055000   -0.067550   0.496484   0.571065   0.541927   0.045155   0.412918
1.060000   -0.073919   0.498104   0.575814   0.530786   0.045893   0.423321
1.065000   -0.079307   0.499221   0.580086   0.519733   0.046619   0.433648
1.070000   -0.083735   0.499846   0.583889   0.508775   0.047333   0.443893
1.075000   -0.087223   0.499991   0.587231   0.497914   0.048034   0.454052
1.080000   -0.089795   0.499670   0.590124   0.487155   0.048724   0.464121
1.085000   -0.091474   0.498896   0.592578   0.476502   0.049400   0.474097
1.090000   -0.092285   0.497682   0.594603   0.465958   0.050065   0.483977
1.095000   -0.092255   0.496044   0.596211   0.455525   0.050717   0.493758
1.100000   -0.091409   0.493996   0.597414   0.445208   0.051356   0.503436
1.105000   -0.089775   0.491552   0.598223   0.435008   0.051983   0.513009
1.110000   -0.087379   0.488728   0.598651   0.424928   0.052597   0.522475
1.115000   -0.084251   0.485540   0.598711   0.414971   0.053199   0.531831
1.120000   -0.080417   0.482002   0.598415   0.405137   0.053788   0.541075
1.125000   -0.075906   0.478130   0.597776   0.395430   0.054364   0.550206
1.130000   -0.070748   0.473940   0.596808   0.385851   0.054928   0.559221
1.135000   -0.064969   0.469446   0.595523   0.376400   0.055480   0.568120
1.140000   -0.058600   0.464665   0.593934   0.367081   0.056019   0.576900
1.145000   -0.051667   0.459612   0.592055   0.357894   0.056546   0.585561
1.150000   -0.044200   0.454301   0.589899   0.348839   0.057060   0.594101
1.155000   -0.036226   0.448748   0.587478   0.339918   0.057563   0.602519
1.160000   -0.027773   0.442967   0.584805   0.331132   0.058053   0.610815
1.165000   -0.018868   0.436974   0.581894   0.322481   0.058531   0.618988
1.170000   -0.009539   0.430783   0.578756   0.313966   0.058997   0.627037
1.175000   0.000188   0.424407   0.575405   0.305587   0.059452   0.634962
1.180000   0.010287   0.417861   0.571852   0.297344   0.059894   0.642762
1.185000   0.020732   0.411158   0.568109   0.289237   0.060325   0.650437
1.190000   0.031498   0.404312   0.564189   0.281268   0.060745   0.657988
1.195000   0.042561   0.397336   0.560103   0.273434   0.061153   0.665413
1.200000   0.053895   0.390242   0.555863   0.265738   0.061550   0.672713
1.205000   0.065478   0.383043   0.551479   0.258177   0.061935   0.679888
1.210000   0.077286   0.375751   0.546963   0.250752   0.062310   0.686938
1.215000   0.089297   0.368378   0.542325   0.243463   0.062673   0.693863
1.220000   0.101490   0.360934   0.537575   0.236309   0.063026   0.700665
1.225000   0.113843   0.353432   0.532724   0.229290   0.063368   0.707342
1.230000   0.126336   0.345882   0.527782   0.222405   0.063700   0.713895
1.235000   0.138949   0.338293   0.522758   0.215653   0.064021   0.720326
1.240000   0.151662   0.330677   0.517661   0.209033   0.064332   0.726634
1.245000   0.164457   0.323042   0.512501   0.202546   0.064633   0.732821
1.250000   0.177316   0.315399   0.507285   0.196190   0.064924   0.738886
1.255000   0.190221   0.307756   0.502023   0.189964   0.065205   0.744830
1.260000   0.203156   0.300121   0.496723   0.183868   0.065477   0.750655
1.265000   0.216105   0.292503   0.491391   0.177900   0.065738   0.756361
1.270000   0.229053   0.284910   0.486037   0.172060   0.065991   0.761949
1.275000   0.241983   0.277350   0.480667   0.166346   0.066234   0.767420
1.280000   0.254883   0.269829   0.475288   0.160757   0.066468   0.772775
1.285000   0.267738   0.262355   0.469907   0.155293   0.066693   0.778014
1.290000   0.280536   0.254934   0.464530   0.149953   0.066909   0.783138
1.295000   0.293264   0.247572   0.459164   0.144734   0.067117   0.788149
1.300000   0.305910   0.240276   0.453814   0.139636   0.067316   0.793048
1.305000   0.318462   0.233051   0.448486   0.134659   0.067506   0.797835
1.310000   0.330911   0.225903   0.443186   0.129800   0.067688   0.802512
1.315000   0.343245   0.218837   0.437918   0.125058   0.067862   0.807080
1.320000   0.355456   0.211857   0.432687   0.120432   0.068028   0.811539
1.325000   0.367533   0.204968   0.427499   0.115922   0.068186   0.815892
1.330000   0.379469   0.198175   0.422357   0.111525   0.068337   0.820138
1.335000   0.391255   0.191480   0.417265   0.107241   0.068479   0.824280
1.340000   0.402883   0.184889   0.412228   0.103067   0.068615   0.828318
1.345000   0.414346   0.178404   0.407250   0.099004   0.068743   0.832253
1.350000   0.425638   0.172030   0.402333   0.095049   0.068863   0.836088
1.355000   0.436752   0.165767   0.397481   0.091201   0.068977   0.839822
1.360000   0.447681   0.159621   0.392698   0.087460   0.069084   0.843457
1.365000   0.458422   0.153593   0.387985   0.083823   0.069184   0.846994
1.370000   0.468968   0.147685   0.383347   0.080289   0.069277   0.850434
1.375000   0.479315   0.141900   0.378784   0.076857   0.069363   0.853780
1.380000   0.489459   0.136240   0.374301   0.073526   0.069444   0.857030
1.385000   0.499396   0.130706   0.369898   0.070294   0.069517   0.860188
1.390000   0.509122   0.125300   0.365578   0.067160   0.069585   0.863254
1.395000   0.518634   0.120023   0.361343   0.064123   0.069647   0.866230
1.400000   0.527928   0.114877   0.357195   0.061182   0.069702   0.869116
1.405000   0.537004   0.109863   0.353134   0.058334   0.069752   0.871914
1.410000   0.545857   0.104981   0.349162   0.055579   0.069796   0.874624
1.415000   0.554487   0.100232   0.345281   0.052916   0.069835   0.877249
1.420000   0.562891   0.095617   0.341492   0.050343   0.069867   0.879790
1.425000   0.571068   0.091137   0.337795   0.047859   0.069895   0.882246
1.430000   0.579018   0.086791   0.334192   0.045462   0.069917   0.884621
1.435000   0.586738   0.082579   0.330683   0.043152   0.069934   0.886914
1.440000   0.594229   0.078503   0.327268   0.040927   0.069946   0.889127
1.445000   0.601489   0.074562   0.323949   0.038785   0.069954   0.891261
1.450000   0.608520   0.070755   0.320725   0.036726   0.069956   0.893318
1.455000   0.615320   0.067082   0.317598   0.034748   0.069953   0.895298
1.460000   0.621890   0.063543   0.314566   0.032851   0.069946   0.897203
1.465000   0.628231   0.060138   0.311631   0.031032   0.069934   0.899034
1.470000   0.634342   0.056865   0.308792   0.029291   0.069918   0.900791
1.475000   0.640226   0.053725   0.306049   0.027626   0.069898   0.902477
1.480000   0.645881   0.050716   0.303402   0.026036   0.069873   0.904091
1.485000   0.651311   0.047838   0.300851   0.024520   0.069844   0.905636
1.490000   0.656515   0.045090   0.298395   0.023078   0.069811   0.907112
1.495000   0.661496   0.042470   0.296034   0.021706   0.069774   0.908520
1.500000   0.666254   0.039978   0.293768   0.020406   0.069733   0.909861
1.505000   0.670792   0.037613   0.291595   0.019174   0.069688   0.911138
1.510000   0.675111   0.035373   0.289516   0.018011   0.069640   0.912349
1.515000   0.679212   0.033257   0.287530   0.016915   0.069588   0.913497
1.520000   0.683099   0.031265   0.285636   0.015885   0.069532   0.914583
1.525000   0.686773   0.029394   0.283834   0.014919   0.069473   0.915608
1.530000   0.690236   0.027643   0.282122   0.014018   0.069411   0.916572
1.535000   0.693490   0.026011   0.280499   0.013179   0.069345   0.917476
1.540000   0.696538   0.024496   0.278966   0.012402   0.069276   0.918322
1.545000   0.699382   0.023098   0.277521   0.011685   0.069204   0.919111
1.550000   0.702024   0.021813   0.276162   0.011028   0.069128   0.919843
1.555000   0.704468   0.020642   0.274890   0.010430   0.069050   0.920520
1.560000   0.706715   0.019582   0.273703   0.009889   0.068969   0.921142
1.565000   0.708769   0.018632   0.272599   0.009404   0.068885   0.921711
1.570000   0.710631   0.017790   0.271579   0.008975   0.068798   0.922227
1.575000   0.712306   0.017054   0.270640   0.008601   0.068708   0.922691
1.580000   0.713795   0.016423   0.269782   0.008280   0.068616   0.923104
1.585000   0.715101   0.015895   0.269004   0.008012   0.068521   0.923467
1.590000   0.716227   0.015469   0.268304   0.007795   0.068424   0.923781
1.595000   0.717177   0.015142   0.267681   0.007629   0.068324   0.924047
1.600000   0.717952   0.014913   0.267135   0.007513   0.068222   0.924265
1.605000   0.718557   0.014781   0.266663   0.007446   0.068118   0.924437
1.610000   0.718993   0.014743   0.266264   0.007427   0.068011   0.924562
1.615000   0.719264   0.014798   0.265938   0.007455   0.067902   0.924644
1.620000   0.719373   0.014944   0.265683   0.007529   0.067791   0.924680
1.625000   0.719322   0.015180   0.265498   0.007648   0.067678   0.924674
1.630000   0.719115   0.015503   0.265382   0.007812   0.067562   0.924625
1.635000   0.718755   0.015912   0.265333   0.008020   0.067445   0.924535
1.640000   0.718245   0.016405   0.265350   0.008271   0.067326   0.924403
1.645000   0.717587   0.016981   0.265432   0.008564   0.067205   0.924232
1.650000   0.716786   0.017637   0.265578   0.008898   0.067082   0.924020
1.655000   0.715842   0.018372   0.265785   0.009272   0.066957   0.923770
1.660000   0.714761   0.019185   0.266054   0.009686   0.066831   0.923483
1.665000   0.713544   0.020073   0.266383   0.010139   0.066703   0.923158
1.670000   0.712195   0.021036   0.266770   0.010631   0.066573   0.922796
1.675000   0.710716   0.022070   0.267214   0.011159   0.066442   0.922398
1.680000   0.709111   0.023175   0.267715   0.011725   0.066309   0.921966
1.685000   0.707382   0.024349   0.268270   0.012326   0.066175   0.921499
1.690000   0.705532   0.025590   0.268878   0.012963   0.066039   0.920998
1.695000   0.703564   0.026896   0.269539   0.013634   0.065902   0.920464
1.700000   0.701482   0.028267   0.270251   0.014339   0.065764   0.919897
1.705000   0.699287   0.029700   0.271013   0.015077   0.065624   0.919299
1.710000   0.696983   0.031194   0.271823   0.015848   0.065483   0.918669
1.715000   0.694573   0.032747   0.272681   0.016651   0.065341   0.918009
1.720000   0.692058   0.034357   0.273585   0.017484   0.065198   0.917318
1.725000   0.689443   0.036024   0.274533   0.018348   0.065053   0.916599
1.730000   0.686729   0.037745   0.275526   0.019243   0.064907   0.915850
1.735000   0.683920   0.039519   0.276561   0.020166   0.064761   0.915073
1.740000   0.681017   0.041345   0.277638   0.021118   0.064613   0.914269
1.745000   0.678024   0.043220   0.278755   0.022098   0.064464   0.913438
1.750000   0.674944   0.045144   0.279912   0.023106   0.064314   0.912580
1.755000   0.671778   0.047116   0.281106   0.024141   0.064164   0.911696
1.760000   0.668529   0.049133   0.282338   0.025202   0.064012   0.910786
1.765000   0.665201   0.051194   0.283605   0.026288   0.063859   0.909852
1.770000   0.661794   0.053299   0.284907   0.027400   0.063706   0.908894
1.775000   0.658312   0.055444   0.286243   0.028537   0.063552   0.907911
1.780000   0.654758   0.057630   0.287612   0.029697   0.063397   0.906906
1.785000   0.651133   0.059855   0.289012   0.030881   0.063242   0.905877
1.790000   0.647439   0.062118   0.290443   0.032089   0.063085   0.904826
1.795000   0.643680   0.064416   0.291903   0.033318   0.062928   0.903753
1.800000   0.639858   0.066750   0.293392   0.034570   0.062771   0.902659
1.805000   0.635974   0.069117   0.294909   0.035843   0.062613   0.901544
1.810000   0.632030   0.071517   0.296452   0.037138   0.062454   0.900409
1.815000   0.628030   0.073948   0.298021   0.038453   0.062294   0.899253
1.820000   0.623976   0.076409   0.299615   0.039788   0.062134   0.898078
1.825000   0.619868   0.078899   0.301233   0.041142   0.061974   0.896884
1.830000   0.615710   0.081417   0.302873   0.042516   0.061813   0.895671
1.835000   0.611503   0.083961   0.304535   0.043909   0.061651   0.894440
1.840000   0.607250   0.086531   0.306219   0.045319   0.061490   0.893191
1.845000   0.602952   0.089125   0.307922   0.046748   0.061327   0.891925
1.850000   0.598612   0.091743   0.309645   0.048194   0.061165   0.890641
1.855000   0.594231   0.094382   0.311387   0.049657   0.061001   0.889341
1.860000   0.589810   0.097043   0.313146   0.051137   0.060838   0.888025
1.865000   0.585353   0.099724   0.314922   0.052632   0.060674   0.886693
1.870000   0.580861   0.102425   0.316714   0.054144   0.060510   0.885346
1.875000   0.576335   0.105143   0.318522   0.055671   0.060346   0.883983
1.880000   0.571778   0.107878   0.320344   0.057212   0.060181   0.882606
1.885000   0.567190   0.110630   0.322180   0.058769   0.060016   0.881215
1.890000   0.562574   0.113397   0.324028   0.060340   0.059851   0.879809
1.895000   0.557932   0.116179   0.325889   0.061924   0.059686   0.878390
1.900000   0.553264   0.118974   0.327762   0.063522   0.059520   0.876958
1.905000   0.548573   0.121782   0.329645   0.065133   0.059355   0.875512
1.910000   0.543860   0.124601   0.331538   0.066757   0.059189   0.874054
1.915000   0.539127   0.127432   0.333441   0.068393   0.059023   0.872584
1.920000   0.534375   0.130272   0.335353   0.070042   0.058857   0.871101
1.925000   0.529605   0.133122   0.337273   0.071702   0.058691   0.869607
1.930000   0.524819   0.135980   0.339201   0.073374   0.058524   0.868102
1.935000   0.520019   0.138846   0.341135   0.075057   0.058358   0.866585
1.940000   0.515205   0.141719   0.343076   0.076750   0.058192   0.865058
1.945000   0.510380   0.144599   0.345022   0.078454   0.058025   0.863521
1.950000   0.505543   0.147483   0.346973   0.080169   0.057859   0.861973
1.955000   0.500698   0.150373   0.348929   0.081893   0.057692   0.860415
1.960000   0.495844   0.153267   0.350889   0.083627   0.057525   0.858848
1.965000   0.490984   0.156164   0.352852   0.085370   0.057359   0.857271
1.970000   0.486117   0.159064   0.354819   0.087122   0.057192   0.855685
1.975000   0.481247   0.161966   0.356787   0.088883   0.057026   0.854091
1.980000   0.476373   0.164869   0.358758   0.090653   0.056860   0.852488
1.985000   0.471497   0.167774   0.360730   0.092430   0.056693   0.850877
1.990000   0.466619   0.170678   0.362702   0.094216   0.056527   0.849257
1.995000   0.461742   0.173583   0.364675   0.096009   0.056361   0.847630
2.000000   0.456866   0.176486   0.366648   0.097810   0.056195   0.845995
2.005000   0.451991   0.179388   0.368620   0.099618   0.056029   0.844353
2.010000   0.447120   0.182288   0.370592   0.101433   0.055863   0.842704
2.015000   0.442253   0.185186   0.372562   0.103254   0.055697   0.841049
2.020000   0.437390   0.188080   0.374530   0.105082   0.055532   0.839386
2.025000   0.432533   0.190971   0.376496   0.106917   0.055366   0.837717
2.030000   0.427683   0.193858   0.378459   0.108757   0.055201   0.836042
2.035000   0.422841   0.196740   0.380419   0.110603   0.055036   0.834361
2.040000   0.418007   0.199617   0.382376   0.112455   0.054871   0.832674
2.045000   0.413183   0.202489   0.384328   0.114312   0.054706   0.830982
2.050000   0.408368   0.205355   0.386277   0.116174   0.054542   0.829285
2.055000   0.403564   0.208215   0.388221   0.118041   0.054377   0.827582
2.060000   0.398772   0.211067   0.390160   0.119913   0.054213   0.825874
2.065000   0.393993   0.213913   0.392094   0.121789   0.054049   0.824162
2.070000   0.389226   0.216751   0.394023   0.123670   0.053886   0.822445
