# E(GeV)    P2          V2          E2          Pmumu          Pmue          Pmutau
1.450000   0.069349   0.453899   0.476752   0.651824   0.017265   0.330912
1.455000   0.072151   0.452638   0.475211   0.653886   0.017154   0.328960
1.460000   0.074962   0.451371   0.473667   0.655931   0.017045   0.327024
1.465000   0.077780   0.450098   0.472122   0.657960   0.016937   0.325104
1.470000   0.080607   0.448818   0.470575   0.659971   0.016829   0.323199
1.475000   0.083440   0.447533   0.469026   0.661967   0.016723   0.321311
1.480000   0.086281   0.446243   0.467476   0.663946   0.016617   0.319437
1.485000   0.089127   0.444948   0.465925   0.665909   0.016513   0.317579
1.490000   0.091979   0.443649   0.464372   0.667856   0.016409   0.315735
1.495000   0.094836   0.442345   0.462819   0.669787   0.016306   0.313907
1.500000   0.097698   0.441036   0.461265   0.671703   0.016204   0.312093
1.505000   0.100564   0.439724   0.459711   0.673603   0.016103   0.310294
1.510000   0.103434   0.438409   0.458157   0.675487   0.016003   0.308510
1.515000   0.106308   0.437089   0.456603   0.677357   0.015904   0.306739
1.520000   0.109184   0.435767   0.455049   0.679211   0.015806   0.304983
1.525000   0.112063   0.434442   0.453495   0.681050   0.015708   0.303241
1.530000   0.114944   0.433114   0.451942   0.682875   0.015612   0.301513
1.535000   0.117827   0.431783   0.450390   0.684685   0.015516   0.299799
1.540000   0.120711   0.430450   0.448838   0.686480   0.015421   0.298099
1.545000   0.123597   0.429115   0.447288   0.688261   0.015327   0.296412
1.550000   0.126483   0.427779   0.445739   0.690028   0.015234   0.294738
1.555000   0.129369   0.426440   0.444191   0.691781   0.015141   0.293078
1.560000   0.132256   0.425100   0.442644   0.693520   0.015050   0.291430
1.565000   0.135142   0.423759   0.441099   0.695245   0.014959   0.289796
1.570000   0.138028   0.422417   0.439556   0.696956   0.014869   0.288175
1.575000   0.140912   0.421073   0.438014   0.698654   0.014779   0.286567
1.580000   0.143796   0.419729   0.436475   0.700338   0.014691   0.284971
1.585000   0.146678   0.418384   0.434938   0.702009   0.014603   0.283387
1.590000   0.149558   0.417039   0.433403   0.703667   0.014516   0.281817
1.595000   0.152436   0.415694   0.431870   0.705312   0.014430   0.280258
1.600000   0.155312   0.414348   0.430340   0.706944   0.014344   0.278712
1.605000   0.158186   0.413003   0.428812   0.708564   0.014259   0.277177
1.610000   0.161056   0.411657   0.427287   0.710170   0.014175   0.275655
1.615000   0.163924   0.410312   0.425765   0.711764   0.014092   0.274144
1.620000   0.166788   0.408967   0.424245   0.713346   0.014009   0.272645
1.625000   0.169648   0.407623   0.422729   0.714915   0.013927   0.271158
1.630000   0.172505   0.406280   0.421215   0.716472   0.013846   0.269682
1.635000   0.175358   0.404937   0.419705   0.718017   0.013765   0.268218
1.640000   0.178207   0.403595   0.418198   0.719550   0.013685   0.266765
1.645000   0.181051   0.402255   0.416694   0.721072   0.013606   0.265323
1.650000   0.183891   0.400915   0.415194   0.722581   0.013527   0.263892
1.655000   0.186726   0.399577   0.413697   0.724079   0.013449   0.262472
1.660000   0.189556   0.398240   0.412203   0.725566   0.013372   0.261063
1.665000   0.192381   0.396905   0.410714   0.727041   0.013295   0.259664
1.670000   0.195201   0.395571   0.409228   0.728505   0.013219   0.258277
1.675000   0.198015   0.394239   0.407745   0.729957   0.013143   0.256899
1.680000   0.200824   0.392909   0.406267   0.731399   0.013068   0.255533
1.685000   0.203627   0.391581   0.404792   0.732829   0.012994   0.254176
1.690000   0.206424   0.390255   0.403321   0.734249   0.012920   0.252830
1.695000   0.209215   0.388930   0.401855   0.735658   0.012847   0.251494
1.700000   0.212000   0.387608   0.400392   0.737056   0.012775   0.250169
1.705000   0.214778   0.386289   0.398933   0.738444   0.012703   0.248853
1.710000   0.217550   0.384971   0.397479   0.739822   0.012632   0.247547
1.715000   0.220315   0.383656   0.396029   0.741189   0.012561   0.246250
1.720000   0.223073   0.382344   0.394583   0.742545   0.012491   0.244964
1.725000   0.225825   0.381034   0.393141   0.743892   0.012421   0.243687
1.730000   0.228570   0.379726   0.391704   0.745228   0.012352   0.242419
1.735000   0.231307   0.378422   0.390271   0.746555   0.012284   0.241161
1.740000   0.234038   0.377120   0.388843   0.747871   0.012216   0.239913
1.745000   0.236761   0.375821   0.387419   0.749178   0.012149   0.238673
1.750000   0.239477   0.374524   0.385999   0.750475   0.012082   0.237443
1.755000   0.242185   0.373231   0.384584   0.751763   0.012015   0.236222
1.760000   0.244885   0.371941   0.383174   0.753041   0.011950   0.235010
1.765000   0.247578   0.370654   0.381768   0.754309   0.011884   0.233806
1.770000   0.250264   0.369369   0.380367   0.755569   0.011820   0.232612
1.775000   0.252941   0.368089   0.378970   0.756819   0.011755   0.231426
1.780000   0.255610   0.366811   0.377579   0.758059   0.011692   0.230249
1.785000   0.258272   0.365536   0.376192   0.759291   0.011628   0.229081
1.790000   0.260925   0.364265   0.374809   0.760514   0.011566   0.227921
1.795000   0.263571   0.362997   0.373432   0.761727   0.011503   0.226769
1.800000   0.266208   0.361733   0.372059   0.762932   0.011442   0.225626
1.805000   0.268837   0.360472   0.370691   0.764129   0.011380   0.224491
1.810000   0.271457   0.359215   0.369328   0.765316   0.011319   0.223364
1.815000   0.274069   0.357961   0.367970   0.766495   0.011259   0.222246
1.820000   0.276673   0.356710   0.366617   0.767665   0.011199   0.221135
1.825000   0.279268   0.355464   0.365268   0.768827   0.011140   0.220033
1.830000   0.281855   0.354220   0.363924   0.769981   0.011081   0.218938
1.835000   0.284433   0.352981   0.362586   0.771126   0.011022   0.217851
1.840000   0.287003   0.351745   0.361252   0.772263   0.010964   0.216772
1.845000   0.289563   0.350513   0.359923   0.773392   0.010907   0.215701
1.850000   0.292116   0.349285   0.358600   0.774513   0.010849   0.214637
1.855000   0.294659   0.348060   0.357281   0.775626   0.010793   0.213581
1.860000   0.297193   0.346840   0.355967   0.776731   0.010736   0.212533
1.865000   0.299719   0.345623   0.354658   0.777828   0.010680   0.211491
1.870000   0.302236   0.344410   0.353354   0.778918   0.010625   0.210457
1.875000   0.304744   0.343201   0.352055   0.779999   0.010570   0.209431
1.880000   0.307243   0.341995   0.350761   0.781073   0.010515   0.208411
1.885000   0.309733   0.340794   0.349473   0.782140   0.010461   0.207399
1.890000   0.312214   0.339597   0.348189   0.783199   0.010407   0.206394
1.895000   0.314687   0.338403   0.346910   0.784250   0.010354   0.205396
1.900000   0.317150   0.337214   0.345636   0.785294   0.010301   0.204405
1.905000   0.319604   0.336029   0.344367   0.786331   0.010248   0.203421
1.910000   0.322049   0.334847   0.343104   0.787361   0.010196   0.202443
1.915000   0.324485   0.333670   0.341845   0.788383   0.010144   0.201473
1.920000   0.326912   0.332497   0.340591   0.789399   0.010092   0.200509
1.925000   0.329330   0.331328   0.339343   0.790407   0.010041   0.199552
1.930000   0.331739   0.330162   0.338099   0.791408   0.009991   0.198601
1.935000   0.334138   0.329001   0.336860   0.792403   0.009940   0.197657
1.940000   0.336529   0.327844   0.335627   0.793390   0.009890   0.196720
1.945000   0.338910   0.326692   0.334398   0.794371   0.009841   0.195789
1.950000   0.341283   0.325543   0.333175   0.795345   0.009791   0.194864
1.955000   0.343646   0.324398   0.331956   0.796312   0.009742   0.193945
1.960000   0.346000   0.323258   0.330743   0.797273   0.009694   0.193033
1.965000   0.348345   0.322121   0.329534   0.798227   0.009646   0.192127
1.970000   0.350680   0.320989   0.328331   0.799175   0.009598   0.191228
1.975000   0.353007   0.319861   0.327132   0.800116   0.009550   0.190334
1.980000   0.355324   0.318737   0.325939   0.801050   0.009503   0.189446
1.985000   0.357633   0.317617   0.324750   0.801979   0.009456   0.188565
1.990000   0.359932   0.316502   0.323566   0.802901   0.009410   0.187689
1.995000   0.362222   0.315391   0.322388   0.803817   0.009364   0.186819
2.000000   0.364503   0.314283   0.321214   0.804727   0.009318   0.185955
2.005000   0.366774   0.313180   0.320045   0.805630   0.009272   0.185097
2.010000   0.369037   0.312081   0.318882   0.806528   0.009227   0.184245
2.015000   0.371290   0.310987   0.317723   0.807419   0.009182   0.183398
2.020000   0.373535   0.309896   0.316569   0.808305   0.009138   0.182557
2.025000   0.375770   0.308810   0.315420   0.809184   0.009094   0.181722
2.030000   0.377996   0.307728   0.314276   0.810058   0.009050   0.180892
2.035000   0.380214   0.306650   0.313137   0.810926   0.009006   0.180068
2.040000   0.382422   0.305576   0.312002   0.811788   0.008963   0.179249
2.045000   0.384621   0.304506   0.310873   0.812645   0.008920   0.178435
2.050000   0.386811   0.303441   0.309748   0.813496   0.008877   0.177627
2.055000   0.388992   0.302380   0.308628   0.814341   0.008835   0.176824
2.060000   0.391164   0.301323   0.307513   0.815180   0.008793   0.176027
2.065000   0.393327   0.300270   0.306403   0.816015   0.008751   0.175235
